id;entry_datetime;entry_type;entry_overtime_approved;entry_overtime_approved_1;entry_overtime_approved_2;entry_realtime;term_entry_datetime;entry_exported;exit_datetime;exit_type;exit_overtime_approved;exit_overtime_approved_1;exit_overtime_approved_2;exit_realtime;term_exit_datetime;exit_exported;new_entry_reason_app_1;new_entry_reason_app_2;new_entry_reason_app_3;new_exit_reason_app_1;new_exit_reason_app_2;new_exit_reason_app_3;new_entry_datetime;new_entry_datetime_app_1;new_entry_datetime_app_2;new_entry_datetime_app_3;new_exit_datetime;new_exit_datetime_app_1;new_exit_datetime_app_2;new_exit_datetime_app_3;created;modified;modified_user;entry_exit_id
1;2020-12-13T04:21:23;29719;false;true;true;false;2020-12-12T20:27:47;false;2020-12-13T17:23:58;46;true;true;false;true;2020-12-13T07:10:26;true;false;true;true;true;true;true;2020-12-12T21:38:13;true;true;true;2020-12-13T09:30:23;true;false;true;2020-12-13T02:44:33;2020-12-12T21:00:05;Outdoors Cheese;1
2;2020-12-12T21:46:43;41101;false;true;false;false;2020-12-13T03:21:08;false;2020-12-13T06:04:13;32418;true;false;false;false;2020-12-13T14:53:51;false;true;false;false;true;true;false;2020-12-13T18:46:35;true;true;false;2020-12-13T03:18:19;true;true;false;2020-12-12T22:35:18;2020-12-13T07:26:43;Colorado;2
3;2020-12-13T04:58:56;87724;false;true;false;false;2020-12-13T00:05:11;false;2020-12-13T09:41:07;83397;false;false;true;false;2020-12-12T22:35:07;false;true;true;false;false;false;false;2020-12-13T13:27:50;false;true;true;2020-12-13T09:01:27;true;true;false;2020-12-13T02:42:33;2020-12-13T12:29:04;program Internal Incredible Metal Bacon;3
4;2020-12-13T03:27:01;96866;true;true;true;false;2020-12-13T06:54:52;true;2020-12-12T20:11:48;45716;true;false;false;true;2020-12-12T20:37:57;false;true;true;true;false;true;false;2020-12-13T15:03:06;false;false;true;2020-12-13T05:49:12;true;true;true;2020-12-12T22:12:46;2020-12-12T21:35:18;Refined Steel Towels Berkshire United Arab Emirates;4
5;2020-12-12T19:28:11;52076;true;true;false;false;2020-12-12T19:24:55;true;2020-12-12T21:46:15;737;false;true;true;false;2020-12-13T14:25:48;true;false;false;false;true;false;true;2020-12-13T11:33:38;false;false;true;2020-12-13T01:46:47;false;false;true;2020-12-13T12:35:59;2020-12-13T04:51:13;Prairie Planner;5
6;2020-12-12T22:45:46;75901;false;false;false;true;2020-12-13T17:20:52;false;2020-12-13T16:53:55;23612;false;false;true;true;2020-12-12T19:46:21;false;false;true;false;false;true;true;2020-12-13T02:48:41;false;true;false;2020-12-13T02:30:21;true;false;false;2020-12-13T11:25:26;2020-12-13T11:06:07;Pizza Senior;6
7;2020-12-13T06:20:15;48815;false;false;false;false;2020-12-13T07:54:50;true;2020-12-13T13:18:11;82939;true;false;false;false;2020-12-13T13:27:03;true;false;true;false;true;false;false;2020-12-13T17:48:30;false;true;false;2020-12-13T06:46:08;true;true;true;2020-12-13T12:27:22;2020-12-12T19:29:32;Buckinghamshire;7
8;2020-12-13T15:04:09;53576;true;false;false;false;2020-12-13T05:18:01;true;2020-12-13T13:46:57;53086;true;true;true;false;2020-12-13T16:05:21;false;false;false;false;true;true;false;2020-12-12T20:57:44;false;true;true;2020-12-13T01:27:55;false;false;true;2020-12-13T17:39:04;2020-12-13T01:00:06;Metal;8
9;2020-12-13T09:18:57;47555;false;true;false;false;2020-12-13T07:35:40;true;2020-12-13T11:31:35;71459;false;false;false;false;2020-12-13T13:39:00;false;false;true;true;false;true;true;2020-12-13T17:20:03;false;false;true;2020-12-13T09:54:48;true;true;true;2020-12-13T08:42:01;2020-12-13T13:40:03;withdrawal Granite Cotton;9
10;2020-12-12T19:09:41;47080;true;true;true;true;2020-12-13T06:23:20;false;2020-12-13T15:59:44;76785;false;true;true;true;2020-12-13T11:37:40;false;false;true;true;true;true;true;2020-12-13T04:21:37;false;true;false;2020-12-13T18:34:16;true;false;false;2020-12-13T04:23:49;2020-12-13T13:15:27;Ergonomic New Taiwan Dollar;10
